artistName,id,genres
Cap'n Jazz,3JhEcBWSCPXkRMt1VK14i4,"alternative emo, chicago punk, emo, emo punk, emocore, midwest emo, post-hardcore, screamo"
Biffy Clyro,1km0R7wy712AzLkA1WjKET,"modern alternative rock, modern rock, rock, scottish rock"
Jaron,1gnxlAhv4TnE1Kbvcbv8QI,"contemporary country, country, country road, modern country rock"
VELVETEARS,76uBpZUqkDljACPBsu2klS,"emo rap, sad lo-fi"
Milkavelli,1NsF5ctdX25DWqDwA0evAy,uk alternative hip hop
MF DOOM,2pAWfrd7WFF3XhVt9GooDL,"alternative hip hop, east coast hip hop, hip hop, rap"
Madvillain,2aoFQUeHD1U7pL098lRsDU,"abstract hip hop, alternative hip hop, hip hop, psychedelic hip hop, rap"
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,"chicago rap, conscious hip hop, hip hop, pop rap, rap"
lostprophets,7KnaZr690xW0sCihF9Z8oP,"alternative metal, nu metal"
The Grinns,196MfFl5VIfyX1ZBmJeWHc,"indie garage rock, socal indie"
